,precision,recall,f1-score,support
0,1.0,1.0,1.0,20.0
1,1.0,1.0,1.0,20.0
10,1.0,1.0,1.0,20.0
11,1.0,1.0,1.0,20.0
12,1.0,1.0,1.0,20.0
13,1.0,1.0,1.0,19.0
14,1.0,1.0,1.0,20.0
15,1.0,1.0,1.0,20.0
16,1.0,1.0,1.0,20.0
17,1.0,1.0,1.0,20.0
18,1.0,1.0,1.0,20.0
19,1.0,1.0,1.0,20.0
2,1.0,1.0,1.0,20.0
20,1.0,1.0,1.0,20.0
21,1.0,1.0,1.0,20.0
22,1.0,1.0,1.0,20.0
23,1.0,1.0,1.0,20.0
24,1.0,1.0,1.0,20.0
25,1.0,1.0,1.0,18.0
26,1.0,1.0,1.0,20.0
3,1.0,1.0,1.0,20.0
4,1.0,1.0,1.0,20.0
5,1.0,1.0,1.0,20.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,20.0
8,1.0,1.0,1.0,20.0
9,1.0,1.0,1.0,20.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,537.0
weighted avg,1.0,1.0,1.0,537.0
